0.0051,0.0432,0.0000,0.0000,0.0000,0.0064,1.0000,
0.0950,0.0600,0.0000,0.0000,0.0000,0.0587,0.9983,
0.1638,0.1011,0.0000,0.0000,0.0000,0.1319,0.9913,
0.2424,0.1429,0.0000,0.0000,0.0000,0.2010,0.9796,
0.3177,0.1896,0.0000,0.0000,0.0000,0.2711,0.9626,
0.3654,0.2281,0.0000,0.0000,0.0000,0.3376,0.9413,
0.4383,0.2890,0.0000,0.0000,0.0000,0.4050,0.9143,
0.5225,0.3570,0.0000,0.0000,0.0000,0.4623,0.8867,
0.5820,0.4797,0.0000,0.0000,0.0000,0.4896,0.8720,
0.6455,0.6026,0.0000,0.0000,0.0000,0.5129,0.8585,
0.6730,0.7245,0.0000,0.0000,0.0000,0.5591,0.8291,
0.7185,0.8404,0.0000,0.0000,0.0000,0.5656,0.8247,
0.7614,0.9567,0.0000,0.0000,0.0000,0.5658,0.8245,
0.7866,1.0725,0.0000,0.0000,0.0000,0.5166,0.8562,
0.8102,1.1416,0.0000,0.0000,0.0000,0.4838,0.8752,
0.8861,1.2317,0.0000,0.0000,0.0000,0.4334,0.9012,
0.8966,1.3043,0.0000,0.0000,0.0000,0.3830,0.9237,
